pf,0F,po,so,flds,o,proc,st,m,rl,x,mnemonic,op1,op2,op3,op4,iext,grp1,grp2,grp3,tested_f,modif_f,def_f,undef_f,f_values,description
,,38,,dw,r,,,,,,CMP,Eb,Gb,,,,gen,arith,binary,,o..szapc,o..szapc,,,Compare Two Operands
,,39,,dW,r,,,,,,CMP,Evqp,Gvqp,,,,gen,arith,binary,,o..szapc,o..szapc,,,Compare Two Operands
,,3A,,Dw,r,,,,,,CMP,Gb,Eb,,,,gen,arith,binary,,o..szapc,o..szapc,,,Compare Two Operands
,,3B,,DW,r,,,,,,CMP,Gvqp,Evqp,,,,gen,arith,binary,,o..szapc,o..szapc,,,Compare Two Operands
,,3C,,w,,,,,,,CMP,AL,Ib,,,,gen,arith,binary,,o..szapc,o..szapc,,,Compare Two Operands
,,3D,,W,,,,,,,CMP,rAX,Ivds,,,,gen,arith,binary,,o..szapc,o..szapc,,,Compare Two Operands
3E,,,,,,,,E,,,null,,,,,,prefix,segreg,,,,,,,Null Prefix in 64-bit Mode
,,3F,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
40,,,,,,,,E,,,REX,,,,,,prefix,,,,,,,,Access to new 8-bit registers
41,,,,,,,,E,,,REX.B,,,,,,prefix,,,,,,,,"Extension of r/m field, base field, or opcode reg field"
42,,,,,,,,E,,,REX.X,,,,,,prefix,,,,,,,,Extension of SIB index field
43,,,,,,,,E,,,REX.XB,,,,,,prefix,,,,,,,,REX.X and REX.B combination
44,,,,,,,,E,,,REX.R,,,,,,prefix,,,,,,,,Extension of ModR/M reg field
45,,,,,,,,E,,,REX.RB,,,,,,prefix,,,,,,,,REX.R and REX.B combination
46,,,,,,,,E,,,REX.RX,,,,,,prefix,,,,,,,,REX.R and REX.X combination
47,,,,,,,,E,,,REX.RXB,,,,,,prefix,,,,,,,,"REX.R, REX.X and REX.B combination"
48,,,,,,,,E,,,REX.W,,,,,,prefix,,,,,,,,64 Bit Operand Size
49,,,,,,,,E,,,REX.WB,,,,,,prefix,,,,,,,,REX.W and REX.B combination
4A,,,,,,,,E,,,REX.WX,,,,,,prefix,,,,,,,,REX.W and REX.X combination
4B,,,,,,,,E,,,REX.WXB,,,,,,prefix,,,,,,,,"REX.W, REX.X and REX.B combination"
4C,,,,,,,,E,,,REX.WR,,,,,,prefix,,,,,,,,REX.W and REX.R combination
4D,,,,,,,,E,,,REX.WRB,,,,,,prefix,,,,,,,,"REX.W, REX.R and REX.B combination"
4E,,,,,,,,E,,,REX.WRX,,,,,,prefix,,,,,,,,"REX.W, REX.R and REX.X combination"
4F,,,,,,,,E,,,REX.WRXB,,,,,,prefix,,,,,,,,"REX.W, REX.R, REX.X and REX.B combination"
,,50,,+r,,,,E,,,PUSH,Zvq,,,,,gen,stack,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,,58,,+r,,,,E,,,POP,Zvq,,,,,gen,stack,,,,,,,Pop a Value from the Stack
,,60,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,61,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,62,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,63,,D,r,,,E,,,MOVSXD,Gdqp,Ed,,,,gen,conver,,,,,,,Move with Sign-Extension
64,,,,,,,,,,,FS,FS,,,,,prefix,segreg,,,,,,,FS segment override prefix
65,,,,,,,,,,,GS,GS,,,,,prefix,segreg,,,,,,,GS segment override prefix
66,,,,,,,,,,,no mnemonic,,,,,,prefix,,,,,,,,Operand-size override prefix
66,,,,,,,M,,,,no mnemonic,,,,,sse2,prefix,,,,,,,,Precision-size override prefix
67,,,,,,,,,,,no mnemonic,,,,,,prefix,,,,,,,,Address-size override prefix
,,68,,,,,,,,,PUSH,Ivs,,,,,gen,stack,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,,69,,,r,,,,,,IMUL,Gvqp,Evqp,Ivds,,,gen,arith,binary,,o..szapc,o......c,...szap.,,Signed Multiply
,,6A,,S,,,,,,,PUSH,Ibss,,,,,gen,stack,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,,6B,,S,r,,,,,,IMUL,Gvqp,Evqp,Ibs,,,gen,arith,binary,,o..szapc,o......c,...szap.,,Signed Multiply
,,6C,,w,,,,,f1,,INS,Yb,DX,,,,gen,inout string,,.d......,,,,,Input from Port to String
,,,,,,,,,,,INSB,Yb,DX,,,,,,,,,,,,
,,6D,,W,,,,,f1,,INS,Ywo,DX,,,,gen,inout string,,.d......,,,,,Input from Port to String
,,,,,,,,,,,INSW,Ywo,DX,,,,,,,,,,,,
,,6D,,W,,,,,f1,,INS,Yv,DX,,,,gen,inout string,,.d......,,,,,Input from Port to String
,,,,,,,,,,,INSD,Ydo,DX,,,,,,,,,,,,
,,6E,,w,,,,,f1,,OUTS,DX,Xb,,,,gen,inout string,,.d......,,,,,Output String to Port
,,,,,,,,,,,OUTSB,DX,Xb,,,,,,,,,,,,
,,6F,,W,,,,,f1,,OUTS,DX,Xwo,,,,gen,inout string,,.d......,,,,,Output String to Port
,,,,,,,,,,,OUTSW,DX,Xwo,,,,,,,,,,,,
,,6F,,W,,,,,f1,,OUTS,DX,Xv,,,,gen,inout string,,.d......,,,,,Output String to Port
,,,,,,,,,,,OUTSD,DX,Xdo,,,,,,,,,,,,
,,70,,tttn,,,,,,,JO,Jbs,,,,,gen,branch,cond,o.......,,,,,Jump short if overflow (OF=1)
,,71,,tttN,,,,,,,JNO,Jbs,,,,,gen,branch,cond,o.......,,,,,Jump short if not overflow (OF=0)
,,72,,ttTn,,,,,,,JB,Jbs,,,,,gen,branch,cond,.......c,,,,,Jump short if below/not above or equal/carry (CF=1)
,,,,,,,,,,,JNAE,Jbs,,,,,,,,,,,,,
,,,,,,,,,,,JC,Jbs,,,,,,,,,,,,,
,,73,,ttTN,,,,,,,JNB,Jbs,,,,,gen,branch,cond,.......c,,,,,Jump short if not below/above or equal/not carry (CF=0)
,,,,,,,,,,,JAE,Jbs,,,,,,,,,,,,,
,,,,,,,,,,,JNC,Jbs,,,,,,,,,,,,,
,,74,,tTtn,,,,,,,JZ,Jbs,,,,,gen,branch,cond,....z...,,,,,Jump short if zero/equal (ZF=1)
,,,,,,,,,,,JE,Jbs,,,,,,,,,,,,,
,,75,,tTtN,,,,,,,JNZ,Jbs,,,,,gen,branch,cond,....z...,,,,,Jump short if not zero/not equal (ZF=0)
,,,,,,,,,,,JNE,Jbs,,,,,,,,,,,,,
,,76,,tTTn,,,,,,,JBE,Jbs,,,,,gen,branch,cond,....z..c,,,,,Jump short if below or equal/not above (CF=1 OR ZF=1)
,,,,,,,,,,,JNA,Jbs,,,,,,,,,,,,,
,,77,,tTTN,,,,,,,JNBE,Jbs,,,,,gen,branch,cond,....z..c,,,,,Jump short if not below or equal/above (CF=0 AND ZF=0)
,,,,,,,,,,,JA,Jbs,,,,,,,,,,,,,
,,78,,Tttn,,,,,,,JS,Jbs,,,,,gen,branch,cond,...s....,,,,,Jump short if sign (SF=1)
,,79,,TttN,,,,,,,JNS,Jbs,,,,,gen,branch,cond,...s....,,,,,Jump short if not sign (SF=0)
,,7A,,TtTn,,,,,,,JP,Jbs,,,,,gen,branch,cond,......p.,,,,,Jump short if parity/parity even (PF=1)
,,,,,,,,,,,JPE,Jbs,,,,,,,,,,,,,
,,7B,,TtTN,,,,,,,JNP,Jbs,,,,,gen,branch,cond,......p.,,,,,Jump short if not parity/parity odd (PF=0)
,,,,,,,,,,,JPO,Jbs,,,,,,,,,,,,,
,,7C,,TTtn,,,,,,,JL,Jbs,,,,,gen,branch,cond,o..s....,,,,,Jump short if less/not greater (SF!=OF)
,,,,,,,,,,,JNGE,Jbs,,,,,,,,,,,,,
,,7D,,TTtN,,,,,,,JNL,Jbs,,,,,gen,branch,cond,o..s....,,,,,Jump short if not less/greater or equal (SF=OF)
,,,,,,,,,,,JGE,Jbs,,,,,,,,,,,,,
,,7E,,TTTn,,,,,,,JLE,Jbs,,,,,gen,branch,cond,o..sz...,,,,,Jump short if less or equal/not greater ((ZF=1) OR (SF!=OF))
,,,,,,,,,,,JNG,Jbs,,,,,,,,,,,,,
,,7F,,TTTN,,,,,,,JNLE,Jbs,,,,,gen,branch,cond,o..sz...,,,,,Jump short if not less nor equal/greater ((ZF=0) AND (SF=OF))
,,,,,,,,,,,JG,Jbs,,,,,,,,,,,,,
,,80,,w,0,,,,,L,ADD,Eb,Ib,,,,gen,arith,binary,,o..szapc,o..szapc,,,Add
,,80,,w,1,,,,,L,OR,Eb,Ib,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,80,,w,2,,,,,L,ADC,Eb,Ib,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Add with Carry
,,80,,w,3,,,,,L,SBB,Eb,Ib,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,80,,w,4,,,,,L,AND,Eb,Ib,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,80,,w,5,,,,,L,SUB,Eb,Ib,,,,gen,arith,binary,,o..szapc,o..szapc,,,Subtract
,,80,,w,6,,,,,L,XOR,Eb,Ib,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,80,,w,7,,,,,,CMP,Eb,Ib,,,,gen,arith,binary,,o..szapc,o..szapc,,,Compare Two Operands
,,81,,W,0,,,,,L,ADD,Evqp,Ivds,,,,gen,arith,binary,,o..szapc,o..szapc,,,Add
,,81,,W,1,,,,,L,OR,Evqp,Ivds,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,81,,W,2,,,,,L,ADC,Evqp,Ivds,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Add with Carry
,,81,,W,3,,,,,L,SBB,Evqp,Ivds,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,81,,W,4,,,,,L,AND,Evqp,Ivds,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,81,,W,5,,,,,L,SUB,Evqp,Ivds,,,,gen,arith,binary,,o..szapc,o..szapc,,,Subtract
,,81,,W,6,,,,,L,XOR,Evqp,Ivds,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,81,,W,7,,,,,,CMP,Evqp,Ivds,,,,gen,arith,binary,,o..szapc,o..szapc,,,Compare Two Operands
,,82,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,83,,SW,0,,,,,L,ADD,Evqp,Ibs,,,,gen,arith,binary,,o..szapc,o..szapc,,,Add
,,83,,SW,1,,,,,L,OR,Evqp,Ibs,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,83,,SW,2,,,,,L,ADC,Evqp,Ibs,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Add with Carry
,,83,,SW,3,,,,,L,SBB,Evqp,Ibs,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,83,,SW,4,,,,,L,AND,Evqp,Ibs,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,83,,SW,5,,,,,L,SUB,Evqp,Ibs,,,,gen,arith,binary,,o..szapc,o..szapc,,,Subtract
,,83,,SW,6,,,,,L,XOR,Evqp,Ibs,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,83,,SW,7,,,,,,CMP,Evqp,Ibs,,,,gen,arith,binary,,o..szapc,o..szapc,,,Compare Two Operands
,,84,,dw,r,,,,,,TEST,Eb,Gb,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,85,,dW,r,,,,,,TEST,Evqp,Gvqp,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,86,,Dw,r,,,,,L,XCHG,Gb,Eb,,,,gen,datamov,,,,,,,Exchange Register/Memory with Register
,,87,,DW,r,,,,,L,XCHG,Gvqp,Evqp,,,,gen,datamov,,,,,,,Exchange Register/Memory with Register
,,88,,dw,r,,,,,,MOV,Eb,Gb,,,,gen,datamov,,,,,,,Move
,,89,,dW,r,,,,,,MOV,Evqp,Gvqp,,,,gen,datamov,,,,,,,Move
,,8A,,Dw,r,,,,,,MOV,Gb,Eb,,,,gen,datamov,,,,,,,Move
,,8B,,DW,r,,,,,,MOV,Gvqp,Evqp,,,,gen,datamov,,,,,,,Move
,,8C,,d,r,,,,,,MOV,Mw,Sw,,,,gen,datamov,,,,,,,Move
,,,,,,,,,,,MOV,Rvqp,Sw,,,,,,,,,,,,
,,8D,,,r,,,,,,LEA,Gvqp,M,,,,gen,datamov,,,,,,,Load Effective Address
,,8E,,D,r,,,,,,MOV,Sw,Ew,,,,gen,datamov,,,,,,,Move
,,8F,,W,0,,,,,,POP,Ev,,,,,gen,stack,,,,,,,Pop a Value from the Stack
,,8F,,W,0,,,E,,,POP,Evq,,,,,gen,stack,,,,,,,Pop a Value from the Stack
,,90,,+r,,,,,,,XCHG,Zvqp,rAX,,,,gen,datamov,,,,,,,Exchange Register/Memory with Register
,,90,,,,,D1,,,,NOP,,,,,,gen,control,,,,,,,No Operation
F3,,90,,,,,,,,,PAUSE,,,,,sse2,cachect,,,,,,,,Spin Loop Hint
,,98,,,,,,E,,,CBW,AX,AL,,,,gen,conver,,,,,,,Convert
,,,,,,,,,,,CWDE,EAX,AX,,,,,,,,,,,,
,,,,,,,,,,,CDQE,RAX,EAX,,,,,,,,,,,,
,,99,,,,,,E,,,CWD,DX,AX,,,,gen,conver,,,,,,,Convert
,,,,,,,,,,,CDQ,EDX,EAX,,,,,,,,,,,,
,,,,,,,,,,,CQO,RDX,RAX,,,,,,,,,,,,
,,9A,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,9B,,,,,,,,,FWAIT,,,,,,x87fpu,control,,,123,,123,,Check pending unmasked floating-point exceptions
,,,,,,,,,,,WAIT,,,,,,,,,,,,,,
9B,,,,,,,,,,,no mnemonic,,,,,,prefix,x87fpu,control,,123,,123,,Wait Prefix
,,9C,,,,,,E,,,PUSHF,Fws,,,,,gen,stack flgctrl,,,,,,,Push rFLAGS Register onto the Stack
,,,,,,,,,,,PUSHFQ,Fqs,,,,,,,,,,,,,
,,9D,,,,,,E,,,POPF,Fws,,,,,gen,stack flgctrl,,,,,,,Pop Stack into rFLAGS Register
,,,,,,,,,,,POPFQ,Fqs,,,,,,,,,,,,,
,,9E,,,,,D2,,,,SAHF,AH,,,,,gen,datamov flgctrl,,,...szapc,...szapc,,,Store AH into Flags
,,9F,,,,,D2,,,,LAHF,AH,,,,,gen,datamov flgctrl,,...szapc,,,,,Load Status Flags into AH Register
,,A0,,w,,,,,,,MOV,AL,Ob,,,,gen,datamov,,,,,,,Move
,,A1,,W,,,,,,,MOV,rAX,Ovqp,,,,gen,datamov,,,,,,,Move
,,A2,,w,,,,,,,MOV,Ob,AL,,,,gen,datamov,,,,,,,Move
,,A3,,W,,,,,,,MOV,Ovqp,rAX,,,,gen,datamov,,,,,,,Move
,,A4,,w,,,,,,,MOVS,Yb,Xb,,,,gen,datamov string,,.d......,,,,,Move Data from String to String
,,,,,,,,,,,MOVSB,Yb,Xb,,,,,,,,,,,,
,,A5,,W,,,,E,,,MOVS,Yvqp,Xvqp,,,,gen,datamov string,,.d......,,,,,Move Data from String to String
,,,,,,,,,,,MOVSW,Ywo,Xwo,,,,,,,,,,,,
,,,,,,,,,,,MOVSD,Ydo,Xdo,,,,,,,,,,,,
,,,,,,,,,,,MOVSQ,Yqp,Xqp,,,,,,,,,,,,
,,A6,,w,,,,,,,CMPS,Yb,Xb,,,,gen,arith string,binary,.d......,o..szapc,o..szapc,,,Compare String Operands
,,,,,,,,,,,CMPSB,Yb,Xb,,,,,,,,,,,,
,,A7,,W,,,,E,,,CMPS,Yvqp,Xvqp,,,,gen,arith string,binary,.d......,o..szapc,o..szapc,,,Compare String Operands
,,,,,,,,,,,CMPSW,Ywo,Xwo,,,,,,,,,,,,
,,,,,,,,,,,CMPSD,Ydo,Xdo,,,,,,,,,,,,
,,,,,,,,,,,CMPSQ,Yqp,Xqp,,,,,,,,,,,,
,,A8,,w,,,,,,,TEST,AL,Ib,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,A9,,W,,,,,,,TEST,rAX,Ivds,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,AA,,w,,,,,,,STOS,Yb,AL,,,,gen,datamov string,,.d......,,,,,Store String
,,,,,,,,,,,STOSB,Yb,AL,,,,,,,,,,,,
,,AB,,W,,,,E,,,STOS,Yvqp,rAX,,,,gen,datamov string,,.d......,,,,,Store String
,,,,,,,,,,,STOSW,Ywo,AX,,,,,,,,,,,,
,,,,,,,,,,,STOSD,Ydo,EAX,,,,,,,,,,,,
,,,,,,,,,,,STOSQ,Yqp,RAX,,,,,,,,,,,,
,,AC,,w,,,,,,,LODS,AL,Xb,,,,gen,datamov string,,.d......,,,,,Load String
,,,,,,,,,,,LODSB,AL,Xb,,,,,,,,,,,,
,,AD,,W,,,,E,,,LODS,rAX,Xvqp,,,,gen,datamov string,,.d......,,,,,Load String
,,,,,,,,,,,LODSW,AX,Xwo,,,,,,,,,,,,
,,,,,,,,,,,LODSD,EAX,Xdo,,,,,,,,,,,,
,,,,,,,,,,,LODSQ,RAX,Xqp,,,,,,,,,,,,
,,AE,,w,,,,,,,SCAS,Yb,AL,,,,gen,arith string,binary,.d......,o..szapc,o..szapc,,,Scan String
,,,,,,,,,,,SCASB,Yb,AL,,,,,,,,,,,,
,,AF,,W,,,,E,,,SCAS,Yvqp,rAX,,,,gen,arith string,binary,.d......,o..szapc,o..szapc,,,Scan String
,,,,,,,,,,,SCASW,Ywo,AX,,,,,,,,,,,,
,,,,,,,,,,,SCASD,Ydo,EAX,,,,,,,,,,,,
,,,,,,,,,,,SCASQ,Yqp,RAX,,,,,,,,,,,,
,,B0,,+r,,,,,,,MOV,Zb,Ib,,,,gen,datamov,,,,,,,Move
,,B8,,+r,,,,,,,MOV,Zvqp,Ivqp,,,,gen,datamov,,,,,,,Move
,,C0,,w,0,,,,,,ROL,Eb,Ib,,,,gen,shftrot,,,o..szapc,o..szapc,o.......,,Rotate
,,C0,,w,1,,,,,,ROR,Eb,Ib,,,,gen,shftrot,,,o..szapc,o..szapc,o.......,,Rotate
,,C0,,w,2,,,,,,RCL,Eb,Ib,,,,gen,shftrot,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,C0,,w,3,,,,,,RCR,Eb,Ib,,,,gen,shftrot,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,C0,,w,4,,,,,,SHL,Eb,Ib,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,,SAL,Eb,Ib,,,,,,,,,,,,
,,C0,,w,5,,,,,,SHR,Eb,Ib,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,C0,,w,6,,U3,,,,SAL?alias,Eb,Ib,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,,SHL?alias,Eb,Ib,,,,,,,,,,,,
,,C0,,w,7,,,,,,SAR,Eb,Ib,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a..,,Shift
,,C1,,W,0,,,,,,ROL,Evqp,Ib,,,,gen,shftrot,,,o..szapc,o..szapc,o.......,,Rotate
,,C1,,W,1,,,,,,ROR,Evqp,Ib,,,,gen,shftrot,,,o..szapc,o..szapc,o.......,,Rotate
,,C1,,W,2,,,,,,RCL,Evqp,Ib,,,,gen,shftrot,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,C1,,W,3,,,,,,RCR,Evqp,Ib,,,,gen,shftrot,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,C1,,W,4,,,,,,SHL,Evqp,Ib,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,,SAL,Evqp,Ib,,,,,,,,,,,,
,,C1,,W,5,,,,,,SHR,Evqp,Ib,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,C1,,W,6,,U3,,,,SAL?alias,Evqp,Ib,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,,SHL?alias,Evqp,Ib,,,,,,,,,,,,
